年月,港口別,艘次總計,總噸位總計,中華民國艘次,中華民國總噸位,日本艘次,日本總噸位,韓國艘次,韓國總噸位,香港艘次,香港總噸位, 中國大陸艘次,中國大陸總噸位,越南艘次,越南總噸位,泰國艘次,泰國總噸位,馬來西亞艘次,馬來西亞總噸位,新加坡艘次,新加坡總噸位,菲律賓艘次,菲律賓總噸位,柬埔寨艘次,柬埔寨總噸位,印尼艘次,印尼總噸位,印度艘次,印度總噸位,沙烏地阿拉伯艘次,沙烏地阿拉伯,科威特艘次,科威特總噸位,賴比瑞亞艘次,賴比瑞亞總噸位,美國艘次,美國總噸位,巴拿馬艘次,巴拿馬總噸位,巴哈馬艘次,巴哈馬總噸位,宏都拉斯艘次,宏都拉斯總噸位,聖文森艘次,聖文森總噸位,安地瓜巴布達艘次,安地瓜巴布達總噸位,安地卡艘次,安地卡總噸位,貝里斯艘次,貝里斯總噸位,紐西蘭艘次,紐西蘭總噸位,吐瓦魯艘次,吐瓦魯總噸位,馬紹爾群島艘次,馬紹爾群島總噸位,法國艘次,法國總噸位,德國艘次,德國總噸位,義大利艘次,義大利總噸位,荷蘭艘次,荷蘭總噸位,英國艘次,英國總噸位,挪威艘次,挪威總噸位,丹麥艘次,丹麥總噸位,葡萄牙艘次,葡萄牙總噸位,希臘艘次,希臘總噸位,塞浦路斯艘次,塞浦路斯總噸位,馬爾他艘次,馬爾他總噸位,其他國籍艘次,其他國籍總噸位
200101,國際商港,2766,41019480,811,8463275,21,344678,52,469746,57,1288541,0,0,3,11716,3,5452,33,615256,164,2750853,17,335392,12,83486,9,55274,2,51807,5,161541,1,158503,164,4098559,14,689570,837,11261295,28,567721,10,2078,72,469367,47,597992,0,0,22,55133,0,0,0,0,30,511549,1,37235,51,1363484,6,253078,8,175336,13,497821,27,500526,21,1218049,0,0,10,348331,79,1416461,42,572783,94,1587592
200102,國際商港,2738,40901877,755,7797295,30,732079,57,766936,64,1244697,0,0,8,49380,5,25035,40,944658,166,2731203,18,173463,8,33795,9,50509,2,40632,2,56351,2,96308,149,3563200,13,566578,851,11643446,42,729516,11,2232,72,444918,42,523330,0,0,15,33168,0,0,0,0,27,486338,2,65461,60,1666262,3,131285,15,391211,12,445177,22,522750,19,1068209,0,0,13,564801,63,995638,34,479134,107,1836882
200103,國際商港,3236,46926045,871,8314677,32,504288,68,706751,81,1497025,0,0,14,97589,13,99734,56,1075234,207,3707370,20,247221,19,99200,6,34432,2,55735,5,161541,3,459304,176,4402557,13,654492,992,13002994,40,760866,19,12825,89,553129,54,714674,0,0,14,30840,0,0,0,0,29,466269,2,37238,60,1730053,9,400521,12,281880,13,510205,30,492638,25,1357084,0,0,12,534558,87,1559362,38,557126,125,1806633
200104,國際商港,3162,44686299,919,8496257,39,800921,66,709448,80,1518213,0,0,10,74700,20,165830,51,831350,172,2788040,14,77277,10,58974,7,31751,2,34710,4,63913,3,368174,182,4422488,16,756403,953,12781308,33,882746,5,5153,90,546453,51,610393,0,0,29,63632,0,0,0,0,34,708597,4,102655,52,1473802,6,274430,12,203013,13,525923,18,368236,25,1170794,0,0,10,399250,73,1079909,46,693363,113,1598193
200105,國際商港,3147,46318225,920,8973696,25,459263,56,579150,83,1283215,0,0,6,51055,17,136470,47,816886,187,3303016,22,305091,12,89358,11,61205,1,41300,4,113387,3,357811,167,4047924,18,887241,965,13766253,38,852249,9,12176,87,630620,44,488916,0,0,26,71654,0,0,0,0,26,551578,2,139252,59,1818077,7,324721,11,169194,15,681830,25,503261,17,1035185,0,0,10,438089,60,959230,39,525030,128,1844842
200106,國際商港,3078,43905445,933,8266596,38,638554,64,682420,79,1645024,0,0,1,18542,19,172807,39,618983,182,3339352,16,197339,10,92337,8,45356,2,43936,1,48154,1,48154,187,4527494,17,757517,906,12551907,38,668296,13,5363,97,621303,47,515256,0,0,12,22832,0,0,0,0,21,369066,1,8575,46,1283779,7,374874,11,197729,11,516030,26,419693,21,1184834,0,0,19,707893,59,926063,43,546817,103,1842570
200107,國際商港,3049,45428704,913,8719258,22,426498,53,442991,67,1082834,0,0,3,12236,16,154300,47,1055135,186,3334677,26,352757,12,62924,6,33487,4,105985,4,132580,3,368174,182,4137631,17,773843,909,12817841,39,819937,8,1618,103,584657,48,609790,0,0,9,20918,0,0,0,0,19,427993,2,59422,65,1921173,6,317594,9,215258,13,539313,23,372745,17,1049889,0,0,19,944943,59,1042856,48,805000,92,1682447
200108,國際商港,3275,45740028,1090,9662561,25,405142,82,773639,77,1212961,0,0,4,11120,0,0,50,1107529,182,3025429,19,156733,13,108389,10,49021,1,12648,1,48154,0,0,178,4172294,13,654492,946,13099292,40,728942,11,2021,87,593782,40,487092,0,0,12,41644,0,0,0,0,21,572742,2,58665,52,1391369,6,298514,9,92848,17,739004,25,285198,22,1306518,0,0,21,939545,65,1106562,46,571406,108,2024772
200109,國際商港,2708,41208978,762,7398355,21,625195,57,468054,58,1071100,0,0,5,11129,8,66458,40,812514,158,2916872,17,328343,11,77694,7,38817,3,53543,6,188025,1,48154,173,4249763,14,618075,899,13134918,33,613470,11,12593,67,462035,32,366695,0,0,4,15932,0,0,0,0,14,247790,0,0,62,1586509,7,366382,12,135929,13,712778,23,328047,17,995355,0,0,11,451125,59,1014716,27,368739,76,1423874
200110,國際商港,3198,45465535,1077,9137678,32,433613,68,596683,59,1298605,0,0,5,24743,11,101374,40,831083,179,2963460,11,141536,17,151439,11,62583,4,118946,1,48154,1,149647,190,5132043,15,691901,975,13612397,31,616005,8,10055,79,547344,36,395343,0,0,12,53998,0,0,0,0,17,370651,2,199465,46,1226900,7,366824,3,10827,12,590308,24,412961,21,1240798,0,0,21,884948,55,914542,29,386248,99,1742433
