年月,港口別,Total,國輪合計,外輪合計,進港合計,進港國輪,進港外輪,出港合計,出港國輪,出港外輪
200101,國際商港,17401318,7056396,10344922,12598632,4749782,7848850,4802686,2306614,2496072
200101,高雄港,10321711,4149231,6172480,7376529,2874554,4501975,2945182,1274677,1670505
200101,臺中港,3217020,1300458,1916562,2920363,1227484,1692879,296657,72974,223683
200101,基隆港,2153347,613710,1539637,1709473,523627,1185846,443874,90083,353791
200101,花蓮港,1339840,837004,502836,383045,54802,328243,956795,782202,174593
200101,蘇澳港,303601,115270,188331,146601,31770,114831,157000,83500,73500
200101,安平港,65799,40723,25076,62621,37545,25076,3178,3178,0
200101,臺北港,0,0,0,0,0,0,0,0,0
200102,國際商港,16704269,6138328,10565941,11880162,4144367,7735795,4824107,1993961,2830146
200102,高雄港,10318195,3663405,6654790,7443456,2603962,4839494,2874739,1059443,1815296
200102,臺中港,3003046,1063253,1939793,2602851,967499,1635352,400195,95754,304441
200102,基隆港,1931021,555797,1375224,1422166,457415,964751,508855,98382,410473
200102,花蓮港,1074315,690348,383967,184062,38200,145862,890253,652148,238105
200102,蘇澳港,293385,115405,177980,150555,32405,118150,142830,83000,59830
200102,安平港,84307,50120,34187,77072,44886,32186,7235,5234,2001
200102,臺北港,0,0,0,0,0,0,0,0,0
200103,國際商港,19072322,6506746,12565576,13623769,4161768,9462001,5448553,2344978,3103575
200103,高雄港,11139853,3398142,7741711,8055949,2221504,5834445,3083904,1176638,1907266
200103,臺中港,3366724,1319730,2046994,2916431,1226296,1690135,450293,93434,356859
200103,基隆港,2545816,713734,1832082,1965435,594869,1370566,580381,118865,461516
200103,花蓮港,1370583,894016,476567,258363,55610,202753,1112220,838406,273814
200103,蘇澳港,568932,132250,436682,354692,21090,333602,214240,111160,103080
200103,安平港,80414,48874,31540,72899,42399,30500,7515,6475,1040
200103,臺北港,0,0,0,0,0,0,0,0,0
200104,國際商港,20108602,6808047,13300555,14788094,4632666,10155428,5320508,2175381,3145127
200104,高雄港,11721480,3842457,7879023,8677910,2747784,5930126,3043570,1094673,1948897
200104,臺中港,3650697,1161061,2489636,3226626,1077927,2148699,424071,83134,340937
200104,基隆港,3071424,812503,2258921,2433021,700879,1732142,638403,111624,526779
200104,花蓮港,1263512,834769,428743,216184,40240,175944,1047328,794529,252799
200104,蘇澳港,308820,122584,186236,155237,35372,119865,153583,87212,66371
200104,安平港,92669,34673,57996,79116,30464,48652,13553,4209,9344
200104,臺北港,0,0,0,0,0,0,0,0,0
200105,國際商港,19452389,6930907,12521482,14291754,4661169,9630585,5160635,2269738,2890897
200105,高雄港,10653290,3262218,7391072,7804698,2196582,5608116,2848592,1065636,1782956
200105,臺中港,4052651,1541897,2510754,3608242,1442630,2165612,444409,99267,345142
200105,基隆港,2828477,1001597,1826880,2291376,900482,1390894,537101,101115,435986
200105,花蓮港,1514786,990792,523994,396548,104087,292461,1118238,886705,231533
200105,蘇澳港,354404,122011,232393,153490,8947,144543,200914,113064,87850
200105,安平港,48781,12392,36389,37400,8441,28959,11381,3951,7430
200105,臺北港,0,0,0,0,0,0,0,0,0
200106,國際商港,17684070,6022232,11661838,12468975,3790044,8678931,5215095,2232188,2982907
200106,高雄港,10144609,3468447,6676162,7187483,2349961,4837522,2957126,1118486,1838640
200106,臺中港,3218998,953678,2265320,2829354,867848,1961506,389644,85830,303814
200106,基隆港,2305216,609169,1696047,1726893,501574,1225319,578323,107595,470728
200106,花蓮港,1294615,849585,445030,259014,16500,242514,1035601,833085,202516
200106,蘇澳港,662495,117596,544899,416943,34396,382547,245552,83200,162352
200106,安平港,58137,23757,34380,49288,19765,29523,8849,3992,4857
200106,臺北港,0,0,0,0,0,0,0,0,0
200107,國際商港,19322573,7513012,11809561,14247139,5210887,9036252,5075434,2302125,2773309
200107,高雄港,11020221,4147682,6872539,8063449,2918683,5144766,2956772,1228999,1727773
200107,臺中港,4060964,1588465,2472499,3658482,1502231,2156251,402482,86234,316248
200107,基隆港,2445568,764315,1681253,1897152,683003,1214149,548416,81312,467104
200107,花蓮港,1342622,863632,478990,310515,51785,258730,1032107,811847,220260
200107,蘇澳港,336516,113510,223006,208075,24393,183682,128441,89117,39324
200107,安平港,116682,35408,81274,109466,30792,78674,7216,4616,2600
200107,臺北港,0,0,0,0,0,0,0,0,0
200108,國際商港,18046066,7375660,10670406,12835211,4898700,7936511,5210855,2476960,2733895
200108,高雄港,10243799,3893819,6349980,7185890,2557347,4628543,3057909,1336472,1721437
200108,臺中港,3135774,1065739,2070035,2739389,958050,1781339,396385,107689,288696
200108,基隆港,2826111,1305287,1520824,2266695,1189050,1077645,559416,116237,443179
200108,花蓮港,1319268,902012,417256,308121,68432,239689,1011147,833580,177567
200108,蘇澳港,445886,158161,287725,265656,79061,186595,180230,79100,101130
200108,安平港,75228,50642,24586,69460,46760,22700,5768,3882,1886
200108,臺北港,0,0,0,0,0,0,0,0,0
200109,國際商港,18134560,6632483,11502077,13607087,4674535,8932552,4527473,1957948,2569525
200109,高雄港,10762995,3601066,7161929,8021038,2574898,5446140,2741957,1026168,1715789
200109,臺中港,3919959,1344290,2575669,3510550,1253641,2256909,409409,90649,318760
200109,基隆港,2131228,820631,1310597,1659579,754189,905390,471649,66442,405207
200109,花蓮港,1047287,702686,344601,284101,39131,244970,763186,663555,99631
200109,蘇澳港,220747,122634,98113,86877,17234,69643,133870,105400,28470
200109,安平港,52344,41176,11168,44942,35442,9500,7402,5734,1668
200109,臺北港,0,0,0,0,0,0,0,0,0
200110,國際商港,19448376,7149021,12299355,13665339,4704771,8960568,5783037,2444250,3338787
200110,高雄港,11455583,3714375,7741208,8074078,2450961,5623117,3381505,1263414,2118091
200110,臺中港,3282770,1339461,1943309,2820496,1220517,1599979,462274,118944,343330
200110,基隆港,2720595,903239,1817356,2087383,800722,1286661,633212,102517,530695
200110,花蓮港,1473197,952621,520576,302837,106732,196105,1170360,845889,324471
200110,蘇澳港,393595,161811,231784,263545,53961,209584,130050,107850,22200
200110,安平港,122636,77514,45122,117000,71878,45122,5636,5636,0
200110,臺北港,0,0,0,0,0,0,0,0,0
200111,國際商港,16928426,7105988,9822438,12268726,5015037,7253689,4659700,2090951,2568749
200111,高雄港,9166242,3486877,5679365,6770651,2667968,4102683,2395591,818909,1576682
200111,臺中港,3158912,1400431,1758481,2777424,1306618,1470806,381488,93813,287675
200111,基隆港,2574821,972614,1602207,2032355,876940,1155415,542466,95674,446792
200111,花蓮港,1460592,1042548,418044,264491,59705,204786,1196101,982843,213258
200111,蘇澳港,486161,141171,344990,348361,45671,302690,137800,95500,42300
200111,安平港,81698,62347,19351,75444,58135,17309,6254,4212,2042
200111,臺北港,0,0,0,0,0,0,0,0,0
200112,國際商港,18981423,6899060,12082363,13801515,4634122,9167393,5179908,2264938,2914970
200112,高雄港,10971253,3534195,7437058,8181417,2539204,5642213,2789836,994991,1794845
200112,臺中港,3332231,1228937,2103294,2872031,1157837,1714194,460200,71100,389100
200112,基隆港,2753338,888703,1864635,2167798,792836,1374962,585540,95867,489673
200112,花蓮港,1426715,1073705,353010,202782,71349,131433,1223933,1002356,221577
200112,蘇澳港,360006,124164,235842,242731,26664,216067,117275,97500,19775
200112,安平港,137880,49356,88524,134756,46232,88524,3124,3124,0
200112,臺北港,0,0,0,0,0,0,0,0,0
200201,國際商港,17314846,6333699,10981147,11911073,4068326,7842747,5403773,2265373,3138400
200201,高雄港,9682705,3078000,6604705,6820442,2205753,4614689,2862263,872247,1990016
200201,臺中港,2745910,1050778,1695132,2251193,960162,1291031,494717,90616,404101
200201,基隆港,2591608,830798,1760810,2040257,739006,1301251,551351,91792,459559
200201,花蓮港,1614967,1140837,474130,262714,41837,220877,1352253,1099000,253253
200201,蘇澳港,454865,167194,287671,317593,58997,258596,137272,108197,29075
200201,安平港,224791,66092,158699,218874,62571,156303,5917,3521,2396
200201,臺北港,0,0,0,0,0,0,0,0,0
200202,國際商港,15314504,5854965,9459539,11259944,4251616,7008328,4054560,1603349,2451211
200202,高雄港,8656439,3057116,5599323,6454555,2343223,4111332,2201884,713893,1487991
200202,臺中港,3014161,1117122,1897039,2680900,1064079,1616821,333261,53043,280218
200202,基隆港,1880802,726712,1154090,1484910,661612,823298,395892,65100,330792
200202,花蓮港,1265288,773171,492117,289928,93636,196292,975360,679535,295825
200202,蘇澳港,353406,128572,224834,210876,40837,170039,142530,87735,54795
200202,安平港,144408,52272,92136,138775,48229,90546,5633,4043,1590
200202,臺北港,0,0,0,0,0,0,0,0,0
200203,國際商港,20725927,7725067,13000860,14788830,5406135,9382695,5937097,2318932,3618165
200203,高雄港,11774140,4070891,7703249,8503127,3001642,5501485,3271013,1069249,2201764
200203,臺中港,3683286,1736762,1946524,3189834,1664996,1524838,493452,71766,421686
200203,基隆港,2797969,724712,2073257,2127571,635780,1491791,670398,88932,581466
200203,花蓮港,1839831,1017099,822732,473031,55208,417823,1366800,961891,404909
200203,蘇澳港,421132,145291,275841,292739,23431,269308,128393,121860,6533
200203,安平港,209569,30312,179257,202528,25078,177450,7041,5234,1807
200203,臺北港,0,0,0,0,0,0,0,0,0
200204,國際商港,19389742,6881018,12508724,14102504,4814270,9288234,5287238,2066748,3220490
200204,高雄港,10756601,3466321,7290280,7989586,2680368,5309218,2767015,785953,1981062
200204,臺中港,3696350,1507613,2188737,3255904,1438713,1817191,440446,68900,371546
200204,基隆港,2701752,672920,2028832,2066040,562990,1503050,635712,109930,525782
200204,花蓮港,1565429,1010954,554475,270850,47043,223807,1294579,963911,330668
200204,蘇澳港,457475,210210,247265,315665,78000,237665,141810,132210,9600
200204,安平港,212135,13000,199135,204459,7156,197303,7676,5844,1832
200204,臺北港,0,0,0,0,0,0,0,0,0
200205,國際商港,20569129,6878896,13690233,15275752,4610531,10665221,5293377,2268365,3025012
200205,高雄港,11033377,3225358,7808019,8204491,2332931,5871560,2828886,892427,1936459
200205,臺中港,4373216,1594505,2778711,3866321,1469123,2397198,506895,125382,381513
200205,基隆港,2955079,821890,2133189,2325805,727937,1597868,629274,93953,535321
200205,花蓮港,1577572,1018516,559056,409960,4623,405337,1167612,1013893,153719
200205,蘇澳港,379261,161639,217622,222561,22939,199622,156700,138700,18000
200205,安平港,250624,56988,193636,246614,52978,193636,4010,4010,0
200205,臺北港,0,0,0,0,0,0,0,0,0
200206,國際商港,20198677,7269677,12929000,14981829,5134628,9847201,5216848,2135049,3081799
200206,高雄港,11399989,3813148,7586841,8482703,2887506,5595197,2917286,925642,1991644
200206,臺中港,3875139,1560417,2314722,3459436,1456716,2002720,415703,103701,312002
200206,基隆港,2815999,796384,2019615,2173437,696890,1476547,642562,99494,543068
200206,花蓮港,1456493,914508,541985,350346,31580,318766,1106147,882928,223219
200206,蘇澳港,428854,141589,287265,302510,23589,278921,126344,118000,8344
200206,安平港,222203,43631,178572,213397,38347,175050,8806,5284,3522
200206,臺北港,0,0,0,0,0,0,0,0,0
200207,國際商港,20403367,7143235,13260132,14970021,4786053,10183968,5433346,2357182,3076164
200207,高雄港,11013381,3462556,7550825,8154994,2443848,5711146,2858387,1018708,1839679
200207,臺中港,3890178,1604803,2285375,3471732,1516917,1954815,418446,87886,330560
200207,基隆港,2823799,753240,2070559,2181914,649816,1532098,641885,103424,538461
200207,花蓮港,1924350,1125635,798715,607338,94323,513015,1317012,1031312,285700
200207,蘇澳港,489269,162270,326999,298119,51170,246949,191150,111100,80050
200207,安平港,262390,34731,227659,255924,29979,225945,6466,4752,1714
200207,臺北港,0,0,0,0,0,0,0,0,0
200208,國際商港,20247558,7011443,13236115,14753420,4456156,10297264,5494138,2555287,2938851
200208,高雄港,11203370,3542540,7660830,8250483,2491363,5759120,2952887,1051177,1901710
200208,臺中港,3721034,1228601,2492433,3335903,1135415,2200488,385131,93186,291945
200208,基隆港,2924018,799408,2124610,2296891,702212,1594679,627127,97196,529931
200208,花蓮港,1600851,1204090,396761,277872,30261,247611,1322979,1173829,149150
200208,蘇澳港,583225,186859,396366,384175,52309,331866,199050,134550,64500
200208,安平港,215060,49945,165115,208096,44596,163500,6964,5349,1615
200208,臺北港,0,0,0,0,0,0,0,0,0
200209,國際商港,21788548,7320945,14467603,16395749,5025180,11370569,5392799,2295765,3097034
200209,高雄港,11338045,3299596,8038449,8568363,2393708,6174655,2769682,905888,1863794
200209,臺中港,3951473,1516585,2434888,3505536,1416409,2089127,445937,100176,345761
200209,基隆港,3842226,1112998,2729228,3196185,1017631,2178554,646041,95367,550674
200209,花蓮港,1938763,1225323,713440,615551,111629,503922,1323212,1113694,209518
200209,蘇澳港,479709,122055,357654,278202,46445,231757,201507,75610,125897
200209,安平港,238332,44388,193944,231912,39358,192554,6420,5030,1390
200209,臺北港,0,0,0,0,0,0,0,0,0
200210,國際商港,20895609,6982127,13913482,15381070,4560791,10820279,5514539,2421336,3093203
200210,高雄港,11009021,2943819,8065202,8233860,1981980,6251880,2775161,961839,1813322
200210,臺中港,3671381,1568655,2102726,3232107,1478875,1753232,439274,89780,349494
200210,基隆港,3446804,1062770,2384034,2771548,957541,1814007,675256,105229,570027
200210,花蓮港,1851388,1209271,642117,421875,58183,363692,1429513,1151088,278425
200210,蘇澳港,518738,140330,378408,332334,33940,298394,186404,106390,80014
200210,安平港,398277,57282,340995,389346,50272,339074,8931,7010,1921
200210,臺北港,0,0,0,0,0,0,0,0,0
200211,國際商港,20239380,6825806,13413574,14591040,4312876,10278164,5648340,2512930,3135410
200211,高雄港,11184120,3030075,8154045,8258785,2030887,6227898,2925335,999188,1926147
200211,臺中港,3570918,1524533,2046385,3113412,1418737,1694675,457506,105796,351710
200211,基隆港,2830453,759851,2070602,2189422,666261,1523161,641031,93590,547441
200211,花蓮港,1953914,1279281,674633,523982,114718,409264,1429932,1164563,265369
200211,蘇澳港,385513,173974,211539,197431,28574,168857,188082,145400,42682
200211,安平港,314462,58092,256370,308008,53699,254309,6454,4393,2061
200211,臺北港,0,0,0,0,0,0,0,0,0
200212,國際商港,19258926,5851023,13407903,13669806,3430997,10238809,5589120,2420026,3169094
200212,高雄港,10362337,2138472,8223865,7501397,1327057,6174340,2860940,811415,2049525
200212,臺中港,3417424,1293670,2123754,2993962,1199199,1794763,423462,94471,328991
200212,基隆港,2931682,850671,2081011,2248591,746415,1502176,683091,104256,578835
200212,花蓮港,1745376,1332107,413269,309557,50320,259237,1435819,1281787,154032
200212,安平港,444723,77502,367221,439323,74305,365018,5400,3197,2203
200212,蘇澳港,357384,158601,198783,176976,33701,143275,180408,124900,55508
200212,臺北港,0,0,0,0,0,0,0,0,0
200301,國際商港,21880761,7269718,14611043,16453071,4956126,11496945,5427690,2313592,3114098
200301,高雄港,11564391,3087357,8477034,8762661,2195259,6567402,2801730,892098,1909632
